FILENAME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
T15I5D1000N10_100_40_4_20g_0_001.txt_min,1,0,3,4,5,5,4,6,0,7,5,0,5,4,4,7,1,1,7,7,3
T15I5D1000N10_100_40_4_20g_0_001.txt_mid,517479.75000000006,542772.33,568149.7399999999,593353.8399999999,618455.1900000002,643393.0699999996,668495.4600000002,693375.5600000002,718519.85,743670.7500000001,768671.7500000003,793669.4499999997,818623.2499999999,843418.9400000002,868376.99,893386.3599999999,918162.8000000003,943076.4500000001,968171.21,992907.82,1017649.9400000001
T15I5D1000N10_100_40_4_20g_0_001.txt_max,667595,700392,732558,765287,797756,830510,863161,895260,927983,959701,992241,1025013,1057314,1088791,1120527,1152745,1185034,1216973,1249709,1281349,1312562
T15I5D1000N10_100_40_4_20g_0_001.txt_partitions,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PFP_T15I5D1000N10_100_40_4_20g_0_001.txt_min,8,3,0,5,5,3,6,0,6,0,2,2,3,1,6,8,1,0,1,8,7
PFP_T15I5D1000N10_100_40_4_20g_0_001.txt_mid,407817.77999999985,426745.85000000003,446369.4,466081.91,484564.67000000004,503713.94,523118.5799999999,543199.07,562932.7600000005,582732.2600000001,600733.3000000002,619958.1800000002,640163.65,658292.5699999995,678083.3099999997,697517.91,717094.8100000002,736159.4900000002,756471.1100000001,773145.27,793865.16
PFP_T15I5D1000N10_100_40_4_20g_0_001.txt_max,420484,437975,461029,479425,494625,518265,537143,556968,578152,594984,619982,639240,659553,678659,694301,717950,733858,752125,778132,792313,815447
PFP_T15I5D1000N10_100_40_4_20g_0_001.txt_partitions,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SONG_T15I5D1000N10_100_40_4_20g_0_001.txt_min,1,0,3,4,5,5,4,6,0,7,5,0,5,4,4,7,1,1,7,7,3
SONG_T15I5D1000N10_100_40_4_20g_0_001.txt_mid,517479.74999999977,542772.3300000001,568149.74,593353.8399999999,618455.1899999997,643393.0700000003,668495.4600000002,693375.5599999999,718519.8499999996,743670.7500000002,768671.7500000001,793669.4500000001,818623.25,843418.9399999998,868376.99,893386.3599999999,918162.8000000002,943076.45,968171.2099999998,992907.8199999998,1017649.9400000004
SONG_T15I5D1000N10_100_40_4_20g_0_001.txt_max,667595,700392,732558,765287,797756,830510,863161,895260,927983,959701,992241,1025013,1057314,1088791,1120527,1152745,1185034,1216973,1249709,1281349,1312562
SONG_T15I5D1000N10_100_40_4_20g_0_001.txt_partitions,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt_min,6,2,0,0,3,3,8,4,2,5,8,0,7,8,3,9,8,7,1,2,2
MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt_mid,499997.38,524215.02,548555.2300000001,572661.3799999999,596692.0099999998,620559.68,644580.6599999998,668395.3100000003,692435.76,716467.3200000003,740386.9999999999,764270.2,788121.2899999996,811782.5100000001,835604.0800000001,859432.2200000002,883093.7800000001,906883.4100000001,930821.7799999999,954411.9,978033.45
MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt_max,570647,598046,625316,652357,679662,706470,733729,761355,789173,817009,843627,870294,897246,923791,950293,977912,1004781,1032227,1059288,1086876,1114308
MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt_partitions,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SETCOVER_MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt_min,6,2,2,1,9,9,4,0,6,0,7,1,2,6,4,1,2,2,5,4,3
SETCOVER_MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt_mid,499997.37999999983,524215.0200000002,459708.81188118807,481159.26732673263,500204.4257425743,520547.8316831681,540258.495049505,559540.7326732675,579534.7128712871,600153.1881188117,620650.0396039605,640313.2574257427,659494.3366336635,679320.1485148516,699930.2970297028,719753.7623762377,739611.782178218,759218.5940594058,780065.1980198022,799520.0594059406,818605.9009900988
SETCOVER_MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt_max,570647,598046,5398755,5630767,5881016,6129961,6366537,6604726,6850364,7076442,7316056,7574453,7811443,8049082,8298802,8528305,8753823,8986028,9227906,9477440,9736688
SETCOVER_MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt_partitions,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
